cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,url,poll_id,question_id,createddate,timestamp
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",11/3/2016,11/6/2016,"ABC News/Washington Post","A+",2220,"lv",8.720654,47,43,4,,45.20163,41.7243,4.626221,,"","https://www.washingtonpost.com/news/the-fix/wp/2016/11/07/post-abc-tracking-poll-clinton-47-trump-43-on-election-eve/",48630,76192,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",11/1/2016,11/7/2016,"Google Consumer Surveys","B",26574,"lv",7.628472,38.03,35.69,5.46,,43.34557,41.21439,5.175792,,"","https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS",48847,76443,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",11/2/2016,11/6/2016,"Ipsos","A-",2195,"lv",6.424334,42,39,6,,42.02638,38.8162,6.844734,,"","http://projects.fivethirtyeight.com/polls/20161108_National_2.pdf",48922,76636,11/8/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",11/4/2016,11/7/2016,"YouGov","B",3677,"lv",6.087135,45,41,5,,45.65676,40.92004,6.069454,,"","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/l37rosbwjp/econTabReport_lv.pdf",48687,76262,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",11/3/2016,11/6/2016,"Gravis Marketing","B-",16639,"rv",5.316449,47,43,3,,46.84089,42.33184,3.726098,,"","http://www.gravispolls.com/2016/11/final-national-poll-2016-gravis.html?m=1",48848,76444,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",11/3/2016,11/6/2016,"Fox News/Anderson Robbins Research/Shaw & Company Research","A",1295,"lv",5.218141,48,44,3,,49.02208,43.95631,3.057876,,"","http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html",48619,76163,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",11/2/2016,11/6/2016,"CBS News/New York Times","A-",1426,"lv",4.881873,45,41,5,,45.11649,40.92722,4.341786,,"","http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/",48521,76058,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",11/3/2016,11/5/2016,"NBC News/Wall Street Journal","A-",1282,"lv",4.836171,44,40,6,,43.58576,40.77325,5.365788,,"","http://www.nbcnews.com/storyline/2016-election-day/final-nbc-wsj-poll-clinton-holds-four-point-national-lead-n678611",48480,75974,11/6/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"New Mexico",11/6/2016,11/6/2016,"Zia Poll","",8439,"lv",4.609492,46,44,6,,44.82594,41.59978,7.870127,,"","http://projects.fivethirtyeight.com.s3.amazonaws.com/polls/20161107_NM.pdf",48614,76158,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",11/4/2016,11/7/2016,"IBD/TIPP","A-",1107,"lv",4.520075,41.2,42.7,7.1,,42.92745,42.23545,6.316175,,"","http://www.investors.com/politics/ibd-tipp-presidential-election-poll/",48916,76611,11/8/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",11/4/2016,11/6/2016,"Selzer & Company","A+",799,"lv",4.150419,44,41,4,,44.21714,40.57082,4.068708,,"","http://www.bloomberg.com/politics/articles/2016-11-07/national-poll",48513,76036,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",11/1/2016,11/4/2016,"Angus Reid Global","A-",1151,"lv",4.141083,48,44,6,,47.57171,43.68125,5.556625,,"","http://angusreid.org/wp-content/uploads/2016/11/2016.11.04-US-Horserace.pdf",48626,76181,11/7/16,"09:35:33  8 Nov 2016"
