date,N,Trump_Male,Clinton_Male,sediff_Male,Lo_Male,Up_Male,Nsubgrp_Male,Trump_Female,Clinton_Female,sediff_Female,Lo_Female,Up_Female,Nsubgrp_Female,Trump_White,Clinton_White,sediff_White,Lo_White,Up_White,Nsubgrp_White,Trump_Black,Clinton_Black,sediff_Black,Lo_Black,Up_Black,Nsubgrp_Black,Trump_Hispanic,Clinton_Hispanic,sediff_Hispanic,Lo_Hispanic,Up_Hispanic,Nsubgrp_Hispanic,Trump_OtherRace,Clinton_OtherRace,sediff_OtherRace,Lo_OtherRace,Up_OtherRace,Nsubgrp_OtherRace,Trump_HighSchool,Clinton_HighSchool,sediff_HighSchool,Lo_HighSchool,Up_HighSchool,Nsubgrp_HighSchool,Trump_Associates,Clinton_Associates,sediff_Associates,Lo_Associates,Up_Associates,Nsubgrp_Associates,Trump_Bachelors,Clinton_Bachelors,sediff_Bachelors,Lo_Bachelors,Up_Bachelors,Nsubgrp_Bachelors,Trump_Age18t34,Clinton_Age18t34,sediff_Age18t34,Lo_Age18t34,Up_Age18t34,Nsubgrp_Age18t34,Trump_Age35t64,Clinton_Age35t64,sediff_Age35t64,Lo_Age35t64,Up_Age35t64,Nsubgrp_Age35t64,Trump_Age65p,Clinton_Age65p,sediff_Age65p,Lo_Age65p,Up_Age65p,Nsubgrp_Age65p,Trump_Inc0t34k,Clinton_Inc0t34k,sediff_Inc0t34k,Lo_Inc0t34k,Up_Inc0t34k,Nsubgrp_Inc0t34k,Trump_Inc35t74k,Clinton_Inc35t74k,sediff_Inc35t74k,Lo_Inc35t74k,Up_Inc35t74k,Nsubgrp_Inc35t74k,Trump_Inc75kp,Clinton_Inc75kp,sediff_Inc75kp,Lo_Inc75kp,Up_Inc75kp,Nsubgrp_Inc75kp,Trump_Overall,Clinton_Overall,sediff_Overall,Lo_Overall,Up_Overall
7/10/16,1282,49.757304,37.366966,5.9514363,37.729727,49.394543,599,36.327399,42.924916,3.9922848,35.713718,43.538597,683,52.237781,30.878359,2.7974657,38.816553,44.299586,1067,4.3034082,81.479735,6.3903177,36.629061,49.154083,94,28.055,50.342048,14.029771,25.449348,52.947699,63,47.331419,36.511187,13.542321,28.649829,55.192777,58,46.730399,38.991031,9.5563082,33.495533,52.225897,280,46.273648,33.207167,4.5659142,35.265811,44.215003,465,35.823426,47.41794,3.6646279,38.029348,45.212018,537,34.700821,46.093894,8.6800528,31.890906,48.903809,219,42.739468,38.836146,3.6258602,37.234464,44.34115,782,51.633543,36.867005,5.1388915,39.214161,49.286388,281,38.059681,44.051776,5.5620388,35.60493,46.506526,373,45.941379,34.540399,4.690852,35.643854,44.837924,421,43.180976,42.134577,5.5330749,37.235363,48.08019,488,42.707908,40.28435,3.1445268,38.414493,44.577765
7/11/16,1520,51.58991,35.386664,5.4147162,38.181865,48.794709,712,36.085853,44.53552,3.5131391,36.86781,43.753563,808,52.476709,31.083121,2.9071222,38.930935,44.628895,1252,3.744308,82.902211,4.938741,38.483293,48.163225,114,31.906161,47.985943,13.317207,26.895188,52.996915,80,53.20291,31.817975,12.780591,29.985464,55.035422,74,50.499128,36.435602,7.4732476,36.143583,50.791148,326,45.903847,34.923969,4.9982643,35.515609,45.312207,565,34.473773,48.196683,3.8639771,37.54853,45.121925,629,37.372907,43.314729,9.1076289,31.418342,49.269294,262,42.616226,39.819465,3.2889133,37.99471,44.440981,939,52.063827,37.46238,5.4966905,39.376347,50.14986,319,40.073505,42.380519,5.026772,36.300775,46.153248,441,45.485748,36.108933,5.4791973,35.427727,46.166954,508,44.046905,41.736354,6.4114008,36.608457,49.174803,571,43.454122,40.187546,2.704075,39.17084,44.470827
7/12/16,1600,50.213794,36.105722,5.3910008,37.876577,48.442938,747,37.496277,44.106166,3.6501387,37.224085,44.378357,853,52.935525,30.879756,3.0548348,38.913903,44.901379,1323,4.1320976,81.145396,5.4422452,37.305346,47.972147,114,30.009817,52.487799,12.066094,29.424036,53.07358,89,52.070494,31.825884,13.538184,28.680768,55.21561,74,50.512835,36.46913,7.4036044,36.23545,50.746515,333,45.449357,35.595922,4.9946489,35.627883,45.417395,599,35.028376,47.986874,3.7968176,37.786744,45.228506,668,39.904146,42.417484,10.792048,30.584608,51.737022,268,41.671013,40.522031,3.3995907,37.764923,44.428121,998,51.81772,37.378471,5.7440093,38.968966,50.227225,334,39.607108,43.098655,5.3820994,36.078424,46.627339,474,45.980593,35.7824,5.3109143,35.676801,46.086193,538,44.16989,41.836224,5.7081853,37.409035,48.597078,588,43.550541,40.297497,2.909049,39.073151,44.774887
7/13/16,1607,50.508472,35.717524,5.3624962,37.857752,48.368244,742,36.843191,43.820402,3.2264173,37.169907,43.493685,865,52.479557,31.120791,3.1663262,38.697174,44.903174,1325,3.8778537,81.808646,4.6002646,38.334991,47.351509,120,28.595226,49.392279,11.012173,28.201823,49.785682,87,53.195358,32.681192,12.518345,30.670297,55.206253,75,50.193301,36.508445,6.82776,36.659668,50.042078,354,45.105734,35.35835,4.6379343,35.686867,44.777218,604,35.072161,47.186267,3.7606149,37.443811,44.814616,649,40.073579,39.97281,9.9014791,30.319745,49.726644,271,42.094808,40.136573,3.1194838,38.058596,44.172785,995,49.889782,39.595479,5.6902952,39.166141,50.31912,341,37.220274,44.964539,6.463029,34.758638,47.426175,492,45.824796,35.685958,5.0644461,35.79222,45.718534,546,45.157308,40.130013,6.1437871,36.622749,48.664572,569,43.339885,39.968164,3.0415171,38.673337,44.634711
7/14/16,1608,50.528543,35.76369,6.3892987,36.884604,49.407629,750,35.309567,44.504249,3.2348214,36.736783,43.077033,858,52.159391,32.14729,3.026052,39.18781,45.118872,1316,3.6218783,79.69611,5.2977855,36.467165,46.850824,128,28.095719,46.630096,9.8824951,27.678062,47.047753,85,50.690206,33.109829,11.699029,30.434969,53.365066,79,49.231629,36.435166,9.0302868,33.983717,51.683079,350,45.585382,34.507835,5.0644855,35.083413,45.009804,611,33.674489,48.861453,3.5490945,37.789858,44.746084,647,38.654966,41.566919,11.487882,28.852818,51.369067,278,42.028214,39.516696,3.0366287,37.796559,43.748351,992,48.601267,40.497557,5.5793423,39.081657,50.017168,338,34.884214,46.078101,5.7057314,34.889541,46.072774,483,45.672032,35.862609,5.1246969,35.745118,45.789524,548,44.993818,40.123946,6.4132753,36.273872,48.843892,577,42.630756,40.299545,3.0016271,38.523556,44.406745
7/15/16,1755,49.088181,37.00453,4.6651013,38.474556,47.618155,829,36.185341,46.387975,3.7462712,37.615312,44.958004,926,51.64605,32.899325,3.0973839,39.237251,45.308124,1431,3.9664694,79.881388,4.979961,37.043567,46.80429,136,27.914548,53.638436,10.884322,30.109856,51.443128,97,53.273013,34.444294,13.744202,30.389335,57.327972,91,50.462113,36.639121,7.2828344,36.413439,50.687795,378,45.089729,36.111724,4.4818037,36.208558,44.992894,660,32.344345,51.648821,4.041681,38.035736,45.95743,717,37.537211,42.562499,9.6487867,30.594044,49.505666,290,42.416778,41.18114,3.7854755,38.089193,45.508725,1092,48.168598,42.422885,6.0082571,39.40765,51.183834,373,36.093831,45.62198,5.8312121,35.143317,46.572493,526,44.593337,38.095315,5.1419241,36.30524,46.383412,603,44.581048,42.38154,5.5021094,38.089227,48.873361,626,42.426843,41.848913,2.6927057,39.499026,44.77673
7/16/16,1828,49.822876,36.709269,4.8314747,38.531227,48.000917,854,36.39274,46.368807,3.6387858,37.814763,44.946783,974,52.531577,32.405249,2.7076054,39.81496,45.121867,1495,4.3409984,79.39943,4.8978691,37.070302,46.670126,141,25.577826,56.102285,10.662332,30.39097,51.28914,98,52.799016,35.107243,10.823041,33.346549,54.55971,94,50.884247,36.397289,6.8256333,36.951647,50.329888,388,45.225352,36.634935,4.6258745,36.396787,45.463501,687,33.001403,51.109493,3.1147389,39.003004,45.107892,753,37.25091,41.976794,8.2119347,31.566156,47.661548,306,43.420251,40.750155,3.0118461,39.133594,45.036812,1140,48.195385,43.599935,5.8989852,40.116655,51.678665,382,36.08039,45.437552,6.2898302,34.594937,46.923005,538,45.027247,38.590842,4.0644419,37.825891,45.792198,635,45.079209,41.943358,5.4309956,38.188908,48.833659,655,42.829352,41.739315,2.593237,39.742961,44.825706
7/17/16,1885,49.28392,37.220505,4.8648894,38.484621,48.019804,877,37.107293,46.800768,3.5196493,38.504774,45.403287,1008,52.471022,32.806381,3.0625297,39.637423,45.639981,1548,5.0966079,80.323292,5.5151291,37.305123,48.114776,147,25.455594,56.393757,10.157045,30.970772,50.878579,97,54.456707,35.260037,16.868376,28.327364,61.38938,93,51.556697,36.515943,6.9751163,37.200706,50.871934,396,44.774158,37.716629,4.2276618,37.102285,45.388502,712,32.820803,51.600288,3.8641285,38.423699,45.997391,777,36.382977,43.553871,8.3566821,31.778876,48.157973,313,44.277524,40.455754,3.1386343,39.290778,45.442501,1169,47.742549,44.414896,5.9226839,40.274492,51.882953,403,36.722051,45.733334,5.9007041,35.445002,47.010382,559,45.244296,38.625428,5.1967104,36.842086,47.027638,649,44.841211,42.816257,5.686474,38.255989,49.401478,677,42.935754,42.215081,2.5886247,40.038566,45.11227
7/18/16,1907,48.907136,37.423013,5.2880803,37.982755,48.347393,875,38.017861,46.589108,3.3001033,39.069384,45.537586,1032,53.040497,32.131317,2.8380774,39.804591,45.367223,1567,5.5907635,82.020877,4.873762,39.029534,48.582107,146,24.350359,56.734007,10.897493,29.86264,51.221727,100,55.013614,36.964198,13.940901,32.326823,59.650988,94,50.82429,38.868985,8.320299,36.692744,53.000531,405,45.268289,36.984058,4.1962652,37.013833,45.238513,717,34.400171,49.559082,3.3007614,38.74488,45.214372,785,35.610372,43.69247,8.2135628,31.602129,47.700713,321,44.880591,40.779554,3.1738244,39.719725,45.940421,1189,48.907631,43.321002,5.0402914,41.174831,51.053802,397,36.356604,48.268337,5.7285356,36.698506,47.926435,580,47.424468,37.000233,4.6511692,37.654205,46.770496,649,44.107685,42.570592,5.4041343,38.043087,48.63519,678,43.284663,42.155755,3.0555207,39.725798,45.714619
7/19/16,1953,49.615675,37.211204,5.0598365,38.4548,48.372079,899,36.360982,47.702672,2.8257157,39.262626,44.801028,1054,52.322292,33.193607,3.0249058,39.793542,45.722357,1595,5.2065185,82.832538,5.1936837,38.929718,49.109338,154,25.899607,52.759823,10.620902,28.921231,49.738199,104,51.430555,38.901,13.573215,31.864026,58.467528,100,50.53753,39.0602,7.8314863,37.124008,52.473721,423,44.422453,37.486882,4.1931431,36.845387,45.063947,748,34.178044,50.046762,3.4438202,38.737459,45.487347,782,33.163015,45.231608,7.7962322,31.557004,46.837619,318,45.427852,40.608102,3.3050546,39.779023,46.25693,1221,48.359311,43.879142,5.56295,40.667535,51.570917,414,35.834601,48.656312,5.7731441,36.587776,47.903138,598,47.998109,36.422717,4.2640008,38.031692,46.389134,667,43.065738,43.599524,5.4180893,38.022904,48.642358,688,42.828403,42.583523,2.381538,40.372056,45.039871
